
=== Top 50 Cumulative Time Entries ===
         175810 function calls (170411 primitive calls) in 0.317 seconds

   Ordered by: cumulative time
   List reduced from 2757 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.001    0.001 {built-in method _socket.getaddrinfo}
     4245    0.001    0.000    0.001    0.000 /Users/tombedor/development/elroy/elroy/repository/embeddable.py:18(<genexpr>)
       11    0.001    0.000    0.002    0.000 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/engine/cursor.py:1130(fetchall)
      962    0.001    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/enum.py:1129(__new__)
      820    0.001    0.000    0.003    0.000 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/prompt_toolkit/key_binding/key_bindings.py:430(_parse_key)
      476    0.001    0.000    0.001    0.000 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/orm/loading.py:1325(_populate_full)
2856/2660    0.001    0.000    0.003    0.000 {built-in method builtins.getattr}
      615    0.001    0.000    0.004    0.000 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/prompt_toolkit/key_binding/key_bindings.py:249(add)
     3011    0.001    0.000    0.001    0.000 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/orm/attributes.py:552(__get__)
       11    0.001    0.000    0.001    0.000 {method 'fetchall' of 'psycopg2.extensions.cursor' objects}
       25    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
     4321    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     3023    0.001    0.000    0.002    0.000 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/prompt_toolkit/filters/utils.py:21(to_filter)
     1017    0.001    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/inspect.py:1822(_shadowed_dict)
